species_id	common_name	scientific_name	species_num_cd
ABDH	American Black Duck X Mallard Hybrid	Anas rubripes x platy.	
ABDU	American Black Duck	Anas rubripes	133
ABFL	Asian Brown Flycatcher	Muscicapa dauurica	
ABTO	Abert's Towhee	Pipilo aberti	592
ACFL	Acadian Flycatcher	Empidonax virescens	465
ACGO	Aleutian Cackling Goose	Branta h. leucopareia	172.09999999999999
ACWO	Acorn Woodpecker	Melanerpes formicivorus	407
ADWA	Adelaide's Warbler	Dendroica adelaidae	664.10000000000002
AFCD	African Collared-Dove	Streptopelia roseogrisea	
AFOW	Ashy-faced Owl	Tyto glaucops	
AFSI	African Silverbill	Lonchura cantans	
AGHE	Agami Heron	Agamia agami	
AGWT	American Green-winged Teal	Anas c. carolinensis	139
AHJA	Azure-hooded Jay	Cyanolyca cucullata	
AKEK	Akekee	Loxops caeruleirostris	796
AKEP	Akepa	Loxops coccineus	795
AKIA	Akiapolaau	Hemignathus munroi	
AKIK	Akikiki	Oreomystis bairdi	
AKOH	Akohekohe	Palmeria dolei	
ALFL	Alder Flycatcher	Empidonax alnorum	466.10000000000002
ALHU	Allen's Hummingbird	Selasphorus sasin	434
ALOR	Altamira Oriole	Icterus gularis	503.10000000000002
ALSW	Alpine Swift	Apus melba	
ALTE	Aleutian Tern	Onychoprion aleuticus	73
ALYE	Altamira Yellowthroat	Geothlypis flavovelata	
AMAU	Amaui	Myadestes woahensis	
AMAV	American Avocet	Recurvirostra americana	225
AMBI	American Bittern	Botaurus lentiginosus	190
AMCO	American Coot	Fulica americana	221
AMCR	American Crow	Corvus brachyrhynchos	488
AMDI	American Dipper	Cinclus mexicanus	701
AMGO	American Goldfinch	Carduelis tristis	529
AMGP	American Golden-Plover	Pluvialis dominica	272
AMKE	American Kestrel	Falco sparverius	360
AMKI	Amazon Kingfisher	Chloroceryle amazona	
AMOY	American Oystercatcher	Haematopus palliatus	286
AMPI	American Pipit	Anthus rubescens	697
AMRE	American Redstart	Setophaga ruticilla	687
AMRO	American Robin	Turdus migratorius	761
AMWI	American Wigeon	Anas americana	137
AMWO	American Woodcock	Scolopax minor	228
