"species_id","common_name","scientific_name","species_num_cd"
"ABDH","American Black Duck X Mallard Hybrid","Anas rubripes x platy.",NA
"ABDU","American Black Duck","Anas rubripes",133
"ABFL","Asian Brown Flycatcher","Muscicapa dauurica",NA
"ABTO","Abert's Towhee","Pipilo aberti",592
"ACFL","Acadian Flycatcher","Empidonax virescens",465
"ACGO","Aleutian Cackling Goose","Branta h. leucopareia",172.1
"ACWO","Acorn Woodpecker","Melanerpes formicivorus",407
"ADWA","Adelaide's Warbler","Dendroica adelaidae",664.1
"AFCD","African Collared-Dove","Streptopelia roseogrisea",NA
"AFOW","Ashy-faced Owl","Tyto glaucops",NA
"AFSI","African Silverbill","Lonchura cantans",NA
"AGHE","Agami Heron","Agamia agami",NA
"AGWT","American Green-winged Teal","Anas c. carolinensis",139
"AHJA","Azure-hooded Jay","Cyanolyca cucullata",NA
"AKEK","Akekee","Loxops caeruleirostris",796
"AKEP","Akepa","Loxops coccineus",795
"AKIA","Akiapolaau","Hemignathus munroi",NA
"AKIK","Akikiki","Oreomystis bairdi",NA
"AKOH","Akohekohe","Palmeria dolei",NA
"ALFL","Alder Flycatcher","Empidonax alnorum",466.1
"ALHU","Allen's Hummingbird","Selasphorus sasin",434
"ALOR","Altamira Oriole","Icterus gularis",503.1
"ALSW","Alpine Swift","Apus melba",NA
"ALTE","Aleutian Tern","Onychoprion aleuticus",73
"ALYE","Altamira Yellowthroat","Geothlypis flavovelata",NA
"AMAU","Amaui","Myadestes woahensis",NA
"AMAV","American Avocet","Recurvirostra americana",225
"AMBI","American Bittern","Botaurus lentiginosus",190
"AMCO","American Coot","Fulica americana",221
"AMCR","American Crow","Corvus brachyrhynchos",488
"AMDI","American Dipper","Cinclus mexicanus",701
"AMGO","American Goldfinch","Carduelis tristis",529
"AMGP","American Golden-Plover","Pluvialis dominica",272
"AMKE","American Kestrel","Falco sparverius",360
"AMKI","Amazon Kingfisher","Chloroceryle amazona",NA
"AMOY","American Oystercatcher","Haematopus palliatus",286
"AMPI","American Pipit","Anthus rubescens",697
"AMRE","American Redstart","Setophaga ruticilla",687
"AMRO","American Robin","Turdus migratorius",761
"AMWI","American Wigeon","Anas americana",137
"AMWO","American Woodcock","Scolopax minor",228
"ANCH","Antillean Crested Hummingbird","Orthorhyncus cristatus",NA
"ANEU","Antillean Euphonia","Euphonia musica",606.1
"ANHI","Anhinga","Anhinga anhinga",118
"ANHU","Anna's Hummingbird","Calypte anna",431
"ANIA","Anianiau","Hemignathus parvus",784
"ANMA","Antillean Mango","Anthracothorax dominicus",906.7
"ANMU","Ancient Murrelet","Synthliboramphus antiquus",21
"ANNI","Antillean Nighthawk","Chordeiles gundlachii",420.1
"ANPI","Antillean Piculet","Nesoctites micromegas",NA
"ANPS","Antillean Palm-Swift","Tachornis phoenicobia",NA
"ANSI","Antillean Siskin","Carduelis dominicensis",NA
"APAP","Apapane","Himatione sanguinea",802
"APFA","Aplomado Falcon","Falco femoralis",359
"APKI","American Pygmy Kingfisher","Chloroceryle aenea",NA
"ARLO","Arctic Loon","Gavia arctica",9
"ARRW","Arrowhead Warbler","Dendroica pharetra",NA
"ARTA","Azure-rumped Tanager","Tangara cabanisi",NA
"ARTE","Arctic Tern","Sterna paradisaea",71
"ARWA","Arctic Warbler","Phylloscopus borealis",747
"ARWO","Arizona Woodpecker","Picoides arizonae",397.5
"ASSP","Ashy Storm-Petrel","Oceanodroma homochroa",108
"ATBR","Atlantic Brant","Branta b. bernicla",173
"ATBT","Ashy-throated Bush-Tanager","Chlorospingus canigularis",NA
"ATFL","Ash-throated Flycatcher","Myiarchus cinerascens",454
"ATGR","Atitlan Grebe","Podilymbus gigas",NA
"ATHU","Amethyst-throated Hummingbird","Lampornis amethystinus",NA
"ATPU","Atlantic Puffin","Fratercula arctica",13
"ATSP","American Tree Sparrow","Spizella arborea",559
"ATSW","Ashy-tailed Swift","Chaetura andrei",NA
"ATTW","American Three-toed Woodpecker","Picoides dorsalis",401
"AUOR","Audubon's Oriole","Icterus graduacauda",503
"AUSH","Audubon's Shearwater","Puffinus lherminieri",92
"AUWA","Audubon's Warbler","Dendroica c. auduboni",656
"AWPE","American White Pelican","Pelecanus erythrorhynchos",125
"AZCH","Azure-crowned Hummingbird","Amazilia cyanocephala",NA
"AZGA","Azure Gallinule","Porphyrio flavirostris",NA
"AZTH","Aztec Thrush","Ridgwayia pinicola",763.1
"BAAN","Barred Antshrike","Thamnophilus doliatus",NA
"BABE","Barred Becard","Pachyramphus versicolor",NA
"BABU","Barbados Bullfinch","Loxigilla barbadensis",NA
"BABW","Band-backed Wren","Campylorhynchus zonatus",NA
"BACA","Bare-crowned Antbird","Gymnocichla nudiceps",NA
"BACS","Bachman's Sparrow","Aimophila aestivalis",575
"BADO","Barred Owl","Strix varia",368
"BAEA","Bald Eagle","Haliaeetus leucocephalus",352
"BAFA","Bat Falcon","Falco rufigularis",NA
"BAFF","Barred Forest-Falcon","Micrastur ruficollis",NA
"BAGO","Barrow's Goldeneye","Bucephala islandica",152
"BAGT","Blue-and-gold Tanager","Bangsia arcaei",NA
"BAHA","Barred Hawk","Leucopternis princeps",NA
"BAHS","Bahama Swallow","Tachycineta cyaneoviridis",615.1
"BAIS","Baird's Sparrow","Ammodramus bairdii",545
"BAMO","Bahama Mockingbird","Mimus gundlachii",703.1
"BANA","Bananaquit","Coereba flaveola",635
"BANO","Barn Owl","Tyto alba",365
"BANS","Bank Swallow","Riparia riparia",616
"BANW","Banded Wren","Thryothorus pleurostictus",NA
"BAOR","Baltimore Oriole","Icterus galbula",507
"BAPA","Barred Parakeet","Bolborhynchus lineola",NA
"BAPU","Barred Puffbird","Nystalus radiatus",NA
"BAQU","Banded Quail","Philortyx fasciatus",NA
"BARG","Barnacle Goose","Branta leucopsis",175
"BARS","Barn Swallow","Hirundo rustica",613
"BARW","Barbuda Warbler","Dendroica subita",NA
"BASA","Baird's Sandpiper","Calidris bairdii",241
"BASO","Balsas Screech-Owl","Megascops seductus",NA
"BATE","Baikal Teal","Anas formosa",139.1
"BATR","Baird's Trogon","Trogon bairdii",NA
"BAWA","Bachman's Warbler","Vermivora bachmanii",640
"BAWB","Black-and-white Becard","Pachyramphus albogriseus",NA
"BAWH","Black-and-white Hawk-Eagle","Spizastur melanoleucus",NA
"BAWM","Blue-and-white Mockingbird","Melanotis hypoleucus",NA
"BAWO","Bahama Woodstar","Calliphlox evelynae",437.1
"BAWS","Blue-and-white Swallow","Pygochelidon cyanoleuca",NA
"BAWW","Black-and-white Warbler","Mniotilta varia",636
"BAYE","Bahama Yellowthroat","Geothlypis rostrata",914.5
"BAYM","Blue-and-yellow Macaw","Ara ararauna",NA
"BAYS","Black-and-yellow Silky-flycatcher","Phainoptila melanoxantha",NA
"BAYT","Black-and-yellow Tanager","Chrysothlypis chrysomelas",NA
"BAYW","Bay Wren","Thryothorus nigricapillus",NA
"BBAL","Black-browed Albatross","Thalassarche melanophris",82.2
"BBCU","Black-billed Cuckoo","Coccyzus erythropthalmus",388
"BBEH","Buff-bellied Hummingbird","Amazilia yucatanensis",NA
"BBEW","Black-bellied Wren","Thryothorus fasciatoventris",NA
"BBFL","Buff-breasted Flycatcher","Empidonax fulvifrons",470
"BBHE","Boat-billed Heron","Cochlearius cochlearius",NA
"BBIH","Broad-billed Hummingbird","Cynanthus latirostris",NA
"BBIS","Broad-billed Sandpiper","Limicola falcinellus",NA
